alcoholPercentage,assortmentText,grapes,packagingLevel1,sugarContentGramPer100ml,supplierName,tasteClockBody,tasteClockOakFlavor,tasteClockAcidity,tasteClockTannins,tasteClockSweetness,tasteClocks,tasteSymbols,vintage,volumeText,productNumber_Artnr,productNumberShort_Varunr,Name,Producer_Name,Product_Group_Details,Headline,Actual_Price,Country,Region,origin,productId_ArtId,Units_sold
,,,,,,,,,,,,,,,237901,2379,Lui Brut Rosé,El Lado B SA,Sparkling Wine,"Sparkling Wines, Rosé",39.0,Argentina,Cuyo,Mendoza,24555321,2852.0
,,,,,,,,,,,,,,,7957401,79574,Pinot Noir,Selecta,Red Wine,Red Wines,46.0,Serbia,Serbia,Serbia,24483867,901.0
,,,,,,,,,,,,,,,5663001,56630,Ventisquero Clásico Cabernet Sauvignon,Viña Ventisquero,Red Wine,Red Wines,49.0,Chile,Central Valley,Central Valley,25244791,1080.0
,,,,,,,,,,,,,,,5662801,56628,Ventisquero Clásico Sauvignon Blanc,Viña Ventisquero,White Wine,White Wines,49.0,Chile,Central Valley,Central Valley,25244785,751.0
,,,,,,,,,,,,,,,7910401,79104,Maison Robert Olivier Pinot Noir,Vins Biecher,Red Wine,Red Wines,49.0,France,Alsace,Alsace,24523949,96.0
,,,,,,,,,,,,,,,695001,6950,Gustav Organic,Moselland Wine Company GmbH,White Wine,"White Wines, Grapey & Floral",49.0,Germany,Mosel,Mosel,19503170,730.0
,,,,,,,,,,,,,,,257201,2572,Falernia Muscat,Viña Falernia,White Wine,"White Wines, Grapey & Floral",49.0,Chile,Coquimbo,Valle del Elqui,24660898,11866.0
,,,,,,,,,,,,,,,365801,3658,Saveroni Corvina,Terra dei Templari srl,Red Wine,Red Wines,51.0,Italian,Venetien,Veronese,29562574,27.0
,,,,,,,,,,,,,,,255701,2557,Expedition Malbec Organic,Altia PLC,Red Wine,"Red Wines, Fruity & Flavorful",55.0,Argentina,Cuyo,Mendoza,24407871,-1.0
8.5,available on order,['Müller-thurgau'],Glass bottle,3.3,Granqvist Beverage House AB,0.0,0.0,0.0,0.0,0.0,[],[],2018.0,750 ml,592301,5923,Dr Faust Rivaner,Weinkellerei Nahetal,White Wine,White Wines,58.0,Germany,Near,Near,11028,271.0
,,,,,,,,,,,,,,,293401,2934,Julius Kayser Grüner Veltliner,St Ursula,White Wine,"White Wines, Fresh & Fruity",59.0,Hungary,Pannon,Pannon,905403,327.0
,,,,,,,,,,,,,,,261101,2611,Cefiro Pinot Noir Cool Reserve,Viña Casablanca,Red Wine,"Red Wines, Soft & Berry-like",59.0,Chile,Aconcagua,Casablanca,24561953,28039.0
,,,,,,,,,,,,,,,5291901,52919,Viña Laroche Pinot Noir,Viña Casablanca,Red Wine,"Red Wines, Soft & Berry-like",59.0,Chile,Aconcagua,Casablanca,24623384,7882.0
,,,,,,,,,,,,,,,287501,2875,Perdeberg Cellar The Dry Land Collection Pioneer Syrah,Perdeberg Winery,Red Wine,"Red Wines, Spicy & Robust",59.0,South Africa,Western Cape,Coastal Region,24593490,7447.0
,,,,,,,,,,,,,,,211501,2115,Fat Bastard Chardonnay,Fat Bastard Wine Company,White Wine,White Wines,59.0,France,Languedoc-Roussillon,Pays d'Oc,732522,170.0
,,,,,,,,,,,,,,,215901,2159,Aquarella Sauvignon Blanc,Bodegas Vidal el Saz,White Wine,"White Wines, Fresh & Fruity",59.0,Spain,Kastilien-La Mancha,La Mancha,24581184,5813.0
,,,,,,,,,,,,,,,5064201,50642,Marastoni Prosecco Organic Extra Dry,Fields Wine Company AB,Sparkling Wine,"Sparkling Wines, Dry",59.0,Italian,Venetien,Prosecco,24570090,8.0
7.0,regular in-store stock,[],Glass bottle,1.9,Anora Sweden AB,4.0,1.0,9.0,0.0,3.0,"[{'key': 'TasteClockSweetness', 'value': 3}, {'key': 'TasteClockBody', 'value': 4}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Fisk', 'Grönsaker', 'Skaldjur']",,750 ml,5075201,50752,Apes & Grapes Crisp and floral,Anora Group PLC,White Wine,White Wines,59.0,Hungary,Hungary,Hungary,37313054,2275.0
,,,,,,,,,,,,,,,468601,4686,Gran Anciano Tempranillo,Bodegas Navalon,Red Wine,"Red Wines, Spicy & Robust",59.0,Spain,Kastilien-La Mancha,Valdepeñas,24674953,12286.0
,,,,,,,,,,,,,,,534001,5340,Victoria Riesling,WG Herxheim am Berg,White Wine,"White Wines, Grapey & Floral",59.0,Germany,Palatinate,Palatinate,434561,5267.0
,,,,,,,,,,,,,,,242701,2427,Malat Ried Höhlgraben Grüner Veltliner,Weingut Malat,White Wine,"White Wines, Fresh & Fruity",59.0,"Austria, Austria",Lower Austria,Kremstal,24531986,2284.0
,,,,,,,,,,,,,,,245701,2457,Cabriz Dão,Global Wines SA,Red Wine,"Red Wines, Fruity & Flavorful",59.0,Portugal,Dão,Dão,23475712,8835.0
,,,,,,,,,,,,,,,5360001,53600,CHILL OUT Riesling Pfalz Organic,Altia PLC,White Wine,"White Wines, Fresh & Fruity",59.0,Germany,Palatinate,Palatinate,24644203,1437.0
,,,,,,,,,,,,,,,253701,2537,Sícoris,Cara Nord Celler,Red Wine,"Red Wines, Spicy & Robust",59.0,Spain,Katalonien,Costers del Segre,24404963,7530.0
,,,,,,,,,,,,,,,8357501,83575,P.Lex Langhe Bianco,Vignaioli Piemontesi SCA,White Wine,"White Wines, Fresh & Fruity",59.0,Italian,Piedmont,Langhe,24545038,3855.0
,,,,,,,,,,,,,,,5062701,50627,San Merlo Barbera Organic,Fields Wine Company AB,Red Wine,"Red Wines, Fruity & Flavorful",59.0,Italian,Piedmont,Piedmont,24570076,13778.0
,,,,,,,,,,,,,,,5660501,56605,unsweet Organic Smooth Italian Red,CALI WINE GIRL’S,Red Wine,Red Wines,59.0,Italian,Italian,Italian,25238192,3154.0
,,,,,,,,,,,,,,,7132301,71323,Grande Nuit Merlot,Maison Fortant,Red Wine,"Red Wines, Fruity & Flavorful",59.0,France,Languedoc-Roussillon,Pays d'Oc,15557031,3783.0
,,,,,,,,,,,,,,,262201,2622,Artesano de Argento Organic Fairtrade White Malbec,Bodega Argento S.A,White Wine,"White Wines, Fresh & Fruity",59.0,Argentina,Cuyo,Mendoza,24606919,23804.0
,,,,,,,,,,,,,,,254401,2544,Castel del Monte,TorreSanta,Red Wine,"Red Wines, Fruity & Flavorful",59.0,Italian,Apulia,Castel del Monte,24405162,-1.0
,,,,,,,,,,,,,,,7317901,73179,Casteloro Spumante Organic Extra Dry,Fields Wine Company AB,Sparkling Wine,"Sparkling Wines, Dry",59.0,Italian,Italian,Italian,24450613,8418.0
,,,,,,,,,,,,,,,7832901,78329,Légende de Bonpas,Bonpas,White Wine,"White Wines, Fresh & Fruity",59.0,France,Rhonedalen,Luberon,24449710,1246.0
,,,,,,,,,,,,,,,7751601,77516,Piccini Rosso,Piccini,Red Wine,Red Wines,59.0,Italian,Tuscany,Tuscany,17079914,1118.0
,,,,,,,,,,,,,,,5011701,50117,Amicone Bianco Organic,Schenk Italia S.p.A,White Wine,"White Wines, Fresh & Fruity",59.0,Italian,Three Venices,Three Venices,24554687,1902.0
12.0,available on order,[],Glass bottle,0.0,VCT Sweden AB,0.0,0.0,0.0,0.0,0.0,[],[],2022.0,750 ml,8529601,85296,Frontera Cabernet Sauvignon,Concha y Toro,Red Wine,Red Wines,59.0,Chile,Central Valley,Central Valley,35460,2404.0
,,,,,,,,,,,,,,,694601,6946,Gnarly Head Pinot Grigio,Gnarly Head Wines,White Wine,"White Wines, Fresh & Fruity",59.0,USA,California,Lodi,24384696,262.0
,,,,,,,,,,,,,,,5615901,56159,Snabba Cash Barbera d'Asti by Jens Lapidus,Icon Wines,Red Wine,"Red Wines, Fruity & Flavorful",59.0,Italian,Piedmont,Barbera d'Asti,24700077,4789.0
,,,,,,,,,,,,,,,238501,2385,Teillery Cabernet Franc,Vitivincola Teillery Ltda.,Red Wine,"Red Wines, Fruity & Flavorful",59.0,Chile,Central Valley,Maipo,24563005,6119.0
,,,,,,,,,,,,,,,2002701,20027,Jacques Germanier Cabernet Sauvignon Merlot,Jacques Germanier,Red Wine,"Red Wines, Fruity & Flavorful",59.0,South Africa,Western Cape,Western Cape,18981889,10937.0
