alcoholPercentage,assortmentText,grapes,packagingLevel1,sugarContentGramPer100ml,tasteClockBody,tasteClockOakFlavor,tasteClockAcidity,tasteClockTannins,tasteClockSweetness,tasteClocks,tasteSymbols,vintage,volumeText,productNumber_Artnr,productNumberShort_Varunr,Name,Product_Group_Details,Actual_Price,Country,Region,origin,productId_ArtId,Units_sold,productId,full_name,wine_matches,best_match,match_name,match_percentage,match_reference,best_match_details,vivino_name,vivino_link,vivino_country,vivino_region,vivino_average_rating,vivino_price
13.5,regular in-store stock,['Chardonnay'],lighter glass bottle,0.0,5.0,8.0,9.0,0.0,1.0,"[{'key': 'TasteClockSweetness', 'value': 1}, {'key': 'TasteClockBody', 'value': 5}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Fisk', 'Fågel', 'Grönsaker']",2022.0,750 ml,207501.0,2075.0,Casillero del Diablo Chardonnay,White Wine,85.0,Chile,Central Valley,Central Valley,1398.0,205814.0,,,"[{'name': 'Casillero del Diablo Chardonnay (Reserva)', 'link': 'https://www.vivino.com/US-CA/en/wines/1855871', 'thumb': 'https://images.vivino.com/thumbs/mVnqafVsTv26grHSG7tXUA_pb_300x300.png', 'country': 'Chile', 'region': 'Casablanca Valley', 'average_rating': 3.5, 'ratings': 35549, 'price': 11.79}, {'name': 'Casillero del Diablo Chardonnay Reserva Especial', 'link': 'https://www.vivino.com/US-CA/en/wines/158722124', 'thumb': 'https://images.vivino.com/thumbs/zjBCESXvQgal_0T5RBZcjA_pb_300x300.png', 'country': 'Chile', 'region': 'Casablanca Valley', 'average_rating': 3.6, 'ratings': 398, 'price': None}, {'name': 'Casillero del Diablo Reserva Privada Chardonnay', 'link': 'https://www.vivino.com/US-CA/en/wines/157041722', 'thumb': 'https://images.vivino.com/thumbs/-e1wVrJKTKC9a8cfjl680w_pb_300x300.png', 'country': 'Chile', 'region': 'Limarí Valley', 'average_rating': 3.2, 'ratings': 57, 'price': None}, {'name': 'Casillero del Diablo Chardonnay Brut', 'link': 'https://www.vivino.com/US-CA/en/wines/141986762', 'thumb': 'https://images.vivino.com/thumbs/ACLLa9v2QwyNg92rE7TEyA_pb_300x300.png', 'country': 'Chile', 'region': 'Limarí Valley', 'average_rating': 3.2, 'ratings': 41, 'price': None}, {'name': ""Casillero del Diablo Devil's Carnaval Chardonnay"", 'link': 'https://www.vivino.com/US-CA/en/wines/178388956', 'thumb': 'https://images.vivino.com/thumbs/bg3b0LwjTOur7vs4rginhw_375x500.jpg', 'country': 'Chile', 'region': 'Central Valley', 'average_rating': None, 'price': None}]",,,,,,,,,,,
8.5,regular in-store stock,"['Trajadura', 'Azal', 'Loureiro', 'Arinto']",lighter glass bottle,0.9,3.0,1.0,9.0,0.0,2.0,"[{'key': 'TasteClockSweetness', 'value': 2}, {'key': 'TasteClockBody', 'value': 3}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Fisk', 'Grönsaker', 'Skaldjur', 'Sällskapsdryck']",,750 ml,259601.0,2596.0,Casal Garcia Vinho Verde,White Wine,75.0,Portugal,Vinho Verde,Vinho Verde,1890.0,219242.0,,,"[{'name': 'Casal Garcia Vinho Verde', 'link': 'https://www.vivino.com/US-CA/en/wines/164942621', 'thumb': 'https://images.vivino.com/thumbs/muxyF_iZT7GnFBGSwbl_dg_pb_300x300.png', 'country': 'Portugal', 'region': 'Vinho Verde', 'average_rating': 3.8, 'ratings': 92629, 'price': 11.27}, {'name': 'Casal Garcia Vinho Verde Sweet', 'link': 'https://www.vivino.com/US-CA/en/wines/143938806', 'thumb': 'https://images.vivino.com/thumbs/lTPNfHbFQkOqx3QnGANG0A_pb_300x300.png', 'country': 'Portugal', 'region': 'Vinho Verde', 'average_rating': 4.1, 'ratings': 10820, 'price': 15.57}, {'name': 'Casal Garcia Vinho Verde Tinto', 'link': 'https://www.vivino.com/US-CA/en/wines/7465648', 'thumb': 'https://images.vivino.com/thumbs/qOp8wqW2SweuorcJ_vSlPw_pb_300x300.png', 'country': 'Portugal', 'region': 'Vinho Verde', 'average_rating': 3.6, 'ratings': 4547, 'price': 13.79}, {'name': 'Casal Garcia Espumante de Vinho Verde Meio Seco', 'link': 'https://www.vivino.com/US-CA/en/wines/2730063', 'thumb': 'https://images.vivino.com/thumbs/xzwn9aViTMmTi84BnKnudA_pb_300x300.png', 'country': 'Portugal', 'region': 'Vinho Verde', 'average_rating': 3.7, 'ratings': 1413, 'price': 27.99}, {'name': 'Casal Garcia Sangria', 'link': 'https://www.vivino.com/US-CA/en/wines/156654584', 'thumb': 'https://images.vivino.com/thumbs/xPJnBF4sThS5cG9_1p58Ag_pb_300x300.png', 'country': 'Portugal', 'region': 'Vinho Verde', 'average_rating': 3.9, 'ratings': 1046, 'price': None}, {'name': 'Casal Garcia Espumante de Vinho Verde Bruto', 'link': 'https://www.vivino.com/US-CA/en/wines/145074947', 'thumb': 'https://images.vivino.com/thumbs/Lz6BL4M2TYm_zbBA7zhKDQ_375x500.jpg', 'country': 'Portugal', 'region': 'Vinho Verde', 'average_rating': 4.1, 'ratings': 914, 'price': None}, {'name': 'Casal Garcia Haja Alegria', 'link': 'https://www.vivino.com/US-CA/en/wines/178986804', 'thumb': 'https://images.vivino.com/thumbs/W2kfFTE1Rm6gL9aBRXVg8A_375x500.jpg', 'country': 'Portugal', 'region': 'Vinho Verde', 'average_rating': 3.7, 'ratings': 74, 'price': None}, {'name': 'Casal Garcia Fresh Red Vinho Verde', 'link': 'https://www.vivino.com/US-CA/en/wines/160882294', 'thumb': 'https://images.vivino.com/thumbs/m1or74qBT8-t0G3AjGiSug_pb_300x300.png', 'country': 'Portugal', 'region': 'Vinho Verde', 'average_rating': 3.4, 'ratings': 245, 'price': None}, {'name': 'Casal Garcia Espumante de Vinho Verde Rosè', 'link': 'https://www.vivino.com/US-CA/en/wines/100891618', 'thumb': 'https://images.vivino.com/thumbs/5rcsX4RTTBCERLfrc665Gg_pb_300x300.png', 'country': 'Portugal', 'region': 'Vinho Verde', 'average_rating': 3.6, 'ratings': 125, 'price': None}, {'name': 'Casal Garcia Fruitzy Strawberry', 'link': 'https://www.vivino.com/US-CA/en/wines/176053453', 'thumb': 'https://images.vivino.com/thumbs/default_label_375x500.jpg', 'country': 'Portugal', 'region': 'Vinho Verde', 'average_rating': 3.9, 'ratings': 37, 'price': None}, {'name': 'Casal Garcia Sweet Rosé', 'link': 'https://www.vivino.com/US-CA/en/wines/176166516', 'thumb': 'https://images.vivino.com/thumbs/Ywuk_jM5TxKvLHKwgxG3KA_pb_300x300.png', 'country': 'Portugal', 'region': 'Vinho Verde', 'average_rating': None, 'price': None}]",,,,,,,,,,,
12.0,regular in-store stock,"['Riesling', 'Sauvignon blanc']",lighter glass bottle,2.0,4.0,1.0,8.0,0.0,4.0,"[{'key': 'TasteClockSweetness', 'value': 4}, {'key': 'TasteClockBody', 'value': 4}, {'key': 'TasteClockFruitacid', 'value': 8}]","['Buffémat', 'Fisk', 'Grönsaker', 'Sällskapsdryck']",2022.0,750 ml,290301.0,2903.0,Chapel Hill Riesling Sauvignon Blanc,White Wine,79.0,Hungary,Lake Balaton,Balatonboglár,2195.0,8472.0,,,"[{'name': 'Chapel Hill Riesling - Sauvignon Blanc', 'link': 'https://www.vivino.com/US-CA/en/wines/148785232', 'thumb': 'https://images.vivino.com/thumbs/8MEu9yzgRiWFtbiZR9H31Q_pb_300x300.png', 'country': 'Hungary', 'region': 'Balatonboglár', 'average_rating': 3.4, 'ratings': 946, 'price': None}, {'name': 'Chapel Hill Rhine Riesling - Sauvignon Blanc', 'link': 'https://www.vivino.com/US-CA/en/wines/2811792', 'thumb': 'https://images.vivino.com/thumbs/rFYsXShHRa-hn6-dN4QhoA_pb_300x300.png', 'country': 'Hungary', 'region': 'Balatonboglár', 'average_rating': 3.2, 'ratings': 391, 'price': None}]",,,,,,,,,,,
12.5,regular in-store stock,"['Sauvignon blanc', 'Sémillon']",lighter glass bottle,0.0,4.0,1.0,10.0,0.0,1.0,"[{'key': 'TasteClockSweetness', 'value': 1}, {'key': 'TasteClockBody', 'value': 4}, {'key': 'TasteClockFruitacid', 'value': 10}]","['Fisk', 'Ost', 'Skaldjur']",2023.0,750 ml,415101.0,4151.0,Château Bonnet Blanc,White Wine,109.0,France,Bordeaux,Entre-Deux-Mers,2760.0,91017.0,,,"[{'name': 'Château Bonnet Entre-deux-Mers Blanc', 'link': 'https://www.vivino.com/US-CA/en/wines/2142131', 'thumb': 'https://images.vivino.com/thumbs/WzUoA7xnSDWwC1K3TLP2SA_pb_300x300.png', 'country': 'France', 'region': 'Entre-deux-Mers', 'average_rating': 3.6, 'ratings': 6285, 'price': 24.67}, {'name': 'Château Bonnet Bordeaux Blanc', 'link': 'https://www.vivino.com/US-CA/en/wines/4759178', 'thumb': 'https://images.vivino.com/thumbs/44VOrV-cS_-brQFqqqDmMQ_pb_300x300.png', 'country': 'France', 'region': 'Bordeaux', 'average_rating': 3.6, 'ratings': 3254, 'price': 15.99}, {'name': 'Château Tour de Bonnet Entre-deux-Mers Blanc', 'link': 'https://www.vivino.com/US-CA/en/wines/3963357', 'thumb': 'https://images.vivino.com/thumbs/_fgMUntvTeq_iX_PwESJ4g_pb_300x300.png', 'country': 'France', 'region': 'Entre-deux-Mers', 'average_rating': 3.6, 'ratings': 1809, 'price': 8.82}, {'name': 'Château Bonnet Bordeaux Réserve Blanc', 'link': 'https://www.vivino.com/US-CA/en/wines/4688374', 'thumb': 'https://images.vivino.com/thumbs/fJMeZF0NTu6qeAloV42VWg_375x500.jpg', 'country': 'France', 'region': 'Bordeaux', 'average_rating': 3.7, 'ratings': 425, 'price': None}, {'name': 'Château de Respide La Croix Bonnet Graves Blanc', 'link': 'https://www.vivino.com/US-CA/en/wines/3136424', 'thumb': 'https://images.vivino.com/thumbs/_MjQcXpmRSm26qEuFYByEw_pb_300x300.png', 'country': 'France', 'region': 'Graves', 'average_rating': 3.6, 'ratings': 226, 'price': None}, {'name': 'Château Bonnet Divinus de Château Bonnet  Blanc', 'link': 'https://www.vivino.com/US-CA/en/wines/4759192', 'thumb': 'https://images.vivino.com/thumbs/default_label_375x500.jpg', 'country': 'France', 'region': 'Entre-deux-Mers', 'average_rating': 3.6, 'ratings': 74, 'price': None}, {'name': 'Château Bonnet Beaujolais-Villages Blanc', 'link': 'https://www.vivino.com/US-CA/en/wines/143361261', 'thumb': 'https://images.vivino.com/thumbs/ddfzRJ5vTdySKaOw9_xo2w_pb_300x300.png', 'country': 'France', 'region': 'Beaujolais-Villages', 'average_rating': 3.8, 'ratings': 38, 'price': None}, {'name': 'Château Bonnet Beaujolais Blanc', 'link': 'https://www.vivino.com/US-CA/en/wines/4399684', 'thumb': 'https://images.vivino.com/thumbs/wWvi_igeT_eWYMNkHo_8hg_375x500.jpg', 'country': 'France', 'region': 'Beaujolais', 'average_rating': 3.7, 'ratings': 34, 'price': None}, {'name': 'Château Bonnet Blanc', 'link': 'https://www.vivino.com/US-CA/en/wines/155817221', 'thumb': 'https://images.vivino.com/thumbs/6BH2pGEHSb-ZXqSRGIAKJA_375x500.jpg', 'country': 'France', 'region': 'Beaujolais-Villages', 'average_rating': 3.4, 'ratings': 28, 'price': None}, {'name': 'Château La Croix Bonnet Graves Blanc', 'link': 'https://www.vivino.com/US-CA/en/wines/5027214', 'thumb': 'https://images.vivino.com/thumbs/s_7h7FabRTyNwUKYBRx9pA_375x500.jpg', 'country': 'France', 'region': 'Graves', 'average_rating': None, 'price': None}, {'name': 'Château Tour de Bonnet Bordeaux Blanc', 'link': 'https://www.vivino.com/US-CA/en/wines/152355835', 'thumb': 'https://images.vivino.com/thumbs/default_label_375x500.jpg', 'country': 'France', 'region': 'Bordeaux', 'average_rating': None, 'price': None}, {'name': 'Château Aiguilloux Bonne Peche ! Blanc', 'link': 'https://www.vivino.com/US-CA/en/wines/3418058', 'thumb': 'https://images.vivino.com/thumbs/rKXHqXWXQzSnzKNA6ypjWg_375x500.jpg', 'country': 'France', 'region': 'Languedoc', 'average_rating': 3.4, 'ratings': 664, 'price': None}, {'name': 'Château Le Bonnat Graves Blanc', 'link': 'https://www.vivino.com/US-CA/en/wines/4760529', 'thumb': 'https://images.vivino.com/thumbs/UBz_jk4VSR2sTUCr6EkU0A_pb_300x300.png', 'country': 'France', 'region': 'Graves', 'average_rating': 3.9, 'ratings': 205, 'price': None}, {'name': ""Château d'Agel Les Bonnes Blanc"", 'link': 'https://www.vivino.com/US-CA/en/wines/4040323', 'thumb': 'https://images.vivino.com/thumbs/sUHoWx2PTPuITkx747MjBw_pb_300x300.png', 'country': 'France', 'region': ""Pays d'Oc"", 'average_rating': 3.7, 'ratings': 201, 'price': None}, {'name': 'Château Le Bonnat Jeansotte Graves Blanc', 'link': 'https://www.vivino.com/US-CA/en/wines/156154919', 'thumb': 'https://images.vivino.com/thumbs/default_label_375x500.jpg', 'country': 'France', 'region': 'Graves', 'average_rating': None, 'price': None}, {'name': 'Château de Chamboureau Bonnes Blanches Anjou', 'link': 'https://www.vivino.com/US-CA/en/wines/176393500', 'thumb': 'https://images.vivino.com/thumbs/aiN5Pk0_Tqi4K60YN_Bfxw_375x500.jpg', 'country': 'France', 'region': 'Anjou', 'average_rating': None, 'price': None}]",,,,,,,,,,,
12.5,regular in-store stock,['Chardonnay'],lighter glass bottle,0.0,4.0,1.0,10.0,0.0,1.0,"[{'key': 'TasteClockSweetness', 'value': 1}, {'key': 'TasteClockBody', 'value': 4}, {'key': 'TasteClockFruitacid', 'value': 10}]","['Aperitif', 'Fisk', 'Grönsaker', 'Skaldjur']",2022.0,750 ml,563701.0,5637.0,Chablis Le Beaunois Labouré-Roi,White Wine,169.0,France,Burgundy,Chablis,3091.0,71549.0,,,"[{'name': 'Labouré-Roi Le Beaunois Chablis', 'link': 'https://www.vivino.com/US-CA/en/wines/1567567', 'thumb': 'https://images.vivino.com/thumbs/-PpFgT24QTecckgSYJRvkQ_pb_300x300.png', 'country': 'France', 'region': 'Chablis', 'average_rating': 3.7, 'ratings': 5400, 'price': None}]",,,,,,,,,,,
13.0,regular in-store stock,['Chardonnay'],lighter glass bottle,0.0,5.0,1.0,10.0,0.0,1.0,"[{'key': 'TasteClockSweetness', 'value': 1}, {'key': 'TasteClockBody', 'value': 5}, {'key': 'TasteClockFruitacid', 'value': 10}]","['Aperitif', 'Fisk', 'Grönsaker', 'Skaldjur']",2022.0,750 ml,712501.0,7125.0,Chablis Premier Cru Beauroy J M Brocard,White Wine,299.0,France,Burgundy,Chablis Premier Cru,7221.0,11082.0,,,"[{'name': ""Domaines Brocard Jacques Tremblay Chablis Premier Cru 'Beauroy'"", 'link': 'https://www.vivino.com/US-CA/en/wines/151676695', 'thumb': 'https://images.vivino.com/thumbs/default_label_375x500.jpg', 'country': 'France', 'region': ""Chablis 1er Cru 'Beauroy'"", 'average_rating': None, 'price': None}, {'name': ""Jean-Marc Brocard Chablis 1er Cru 'Beauroy'"", 'link': 'https://www.vivino.com/US-CA/en/wines/2100040', 'thumb': 'https://images.vivino.com/thumbs/XmsFljCmSPejQPdFopxS_Q_pb_300x300.png', 'country': 'France', 'region': ""Chablis 1er Cru 'Beauroy'"", 'average_rating': 4, 'ratings': 4694, 'price': None}, {'name': ""Stéphane Brocard - Closerie des Alisiers Chablis 1er Cru 'Beauroy'"", 'link': 'https://www.vivino.com/US-CA/en/wines/164941115', 'thumb': 'https://images.vivino.com/thumbs/ViBZrctDSxOPHqZtRxnNnQ_375x500.jpg', 'country': 'France', 'region': ""Chablis 1er Cru 'Beauroy'"", 'average_rating': None, 'price': None}, {'name': ""Julien Brocard Chablis 1er Cru 'Beauroy'"", 'link': 'https://www.vivino.com/US-CA/en/wines/157367306', 'thumb': 'https://images.vivino.com/thumbs/default_label_375x500.jpg', 'country': 'France', 'region': ""Chablis 1er Cru 'Beauroy'"", 'average_rating': None, 'price': None}, {'name': ""Lucien M Chablis 1er Cru 'Beauroy'"", 'link': 'https://www.vivino.com/US-CA/en/wines/150195455', 'thumb': 'https://images.vivino.com/thumbs/default_label_375x500.jpg', 'country': 'France', 'region': ""Chablis 1er Cru 'Beauroy'"", 'average_rating': None, 'price': None}, {'name': ""Jean-Marc Brocard Chablis Premier Cru 'Vau de Vey'"", 'link': 'https://www.vivino.com/US-CA/en/wines/2516435', 'thumb': 'https://images.vivino.com/thumbs/QIzZNnZZSX6ggA3PLoa8Fw_pb_300x300.png', 'country': 'France', 'region': ""Chablis 1er Cru 'Vau de Vey'"", 'average_rating': 4, 'ratings': 3101, 'price': 53.02}, {'name': 'Alain Geoffroy Beauroy Chablis Premier Cru', 'link': 'https://www.vivino.com/US-CA/en/wines/1914995', 'thumb': 'https://images.vivino.com/thumbs/lgEjOKyRTf2-qBN0dodCjg_pb_300x300.png', 'country': 'France', 'region': 'Chablis Premier Cru', 'average_rating': 4, 'ratings': 3365, 'price': 42.99}, {'name': 'Domaine Hamelin Beauroy Chablis Premier Cru', 'link': 'https://www.vivino.com/US-CA/en/wines/1595283', 'thumb': 'https://images.vivino.com/thumbs/7VPxvjWWQHKQkQZ0tiaSvg_pb_300x300.png', 'country': 'France', 'region': 'Chablis Premier Cru', 'average_rating': 4, 'ratings': 1909, 'price': 45.99}, {'name': ""Pascal Bouchard Chablis Premier Cru 'Beauroy'"", 'link': 'https://www.vivino.com/US-CA/en/wines/2061684', 'thumb': 'https://images.vivino.com/thumbs/GTfMQqf1T4iVBudNWLNLxQ_pb_300x300.png', 'country': 'France', 'region': ""Chablis 1er Cru 'Beauroy'"", 'average_rating': 3.9, 'ratings': 903, 'price': None}, {'name': 'Domaines Brocard Chablis Premier Cru', 'link': 'https://www.vivino.com/US-CA/en/wines/2313958', 'thumb': 'https://images.vivino.com/thumbs/5tUly1v3QkCNSiOrPqtOsQ_375x500.jpg', 'country': 'France', 'region': 'Chablis Premier Cru', 'average_rating': 3.9, 'ratings': 684, 'price': None}, {'name': ""Jean-Marc Brocard Chablis Premier Cru 'Montée de Tonnerre'"", 'link': 'https://www.vivino.com/US-CA/en/wines/1535551', 'thumb': 'https://images.vivino.com/thumbs/pQufsCuwSG6_ZwEHeZgStA_pb_300x300.png', 'country': 'France', 'region': ""Chablis 1er Cru 'Montee de Tonnerre'"", 'average_rating': 4, 'ratings': 1740, 'price': 57.74}, {'name': 'Jean-Marc Brocard Chablis Premier Cru Montmains Les Manants', 'link': 'https://www.vivino.com/US-CA/en/wines/4722049', 'thumb': 'https://images.vivino.com/thumbs/Po5zMsAoQlK-OwOl63s8GQ_375x500.jpg', 'country': 'France', 'region': 'Chablis Premier Cru', 'average_rating': 4.2, 'ratings': 979, 'price': None}, {'name': 'Julien Brocard Les Vaudevey Chablis Premier Cru', 'link': 'https://www.vivino.com/US-CA/en/wines/4768104', 'thumb': 'https://images.vivino.com/thumbs/7nFN7cEgTE2nLc-KPwhoxw_pb_300x300.png', 'country': 'France', 'region': 'Chablis Premier Cru', 'average_rating': 4.2, 'ratings': 1256, 'price': 61.2}, {'name': ""Privilege du Roy Chablis Premier Cru 'Beauroy'"", 'link': 'https://www.vivino.com/US-CA/en/wines/1540547', 'thumb': 'https://images.vivino.com/thumbs/ZiwJKEv1StyzikN37suJ_A_375x500.jpg', 'country': 'France', 'region': ""Chablis 1er Cru 'Beauroy'"", 'average_rating': 3.7, 'ratings': 618, 'price': None}, {'name': ""Domaine Verret Chablis Premier Cru 'Beauroy'"", 'link': 'https://www.vivino.com/US-CA/en/wines/2025795', 'thumb': 'https://images.vivino.com/thumbs/5CJik4s-Q8mK-ajex-r-NQ_pb_300x300.png', 'country': 'France', 'region': ""Chablis 1er Cru 'Beauroy'"", 'average_rating': 3.9, 'ratings': 621, 'price': None}, {'name': 'Domaine Laurent Tribut Beauroy Chablis Premier Cru', 'link': 'https://www.vivino.com/US-CA/en/wines/2333773', 'thumb': 'https://images.vivino.com/thumbs/46T3YAcDQnO1WA97_Q1shg_pb_300x300.png', 'country': 'France', 'region': 'Chablis Premier Cru', 'average_rating': 4, 'ratings': 1043, 'price': 68}, {'name': 'Domaine William Fèvre Chablis Premier Cru Beauroy', 'link': 'https://www.vivino.com/US-CA/en/wines/4716907', 'thumb': 'https://images.vivino.com/thumbs/Rie11hWfSnGkM2IKpCGD1A_pb_300x300.png', 'country': 'France', 'region': 'Chablis Premier Cru', 'average_rating': 4, 'ratings': 695, 'price': None}, {'name': ""Jean-Marc Brocard Chablis Premier Cru 'Fourchaume'"", 'link': 'https://www.vivino.com/US-CA/en/wines/1887038', 'thumb': 'https://images.vivino.com/thumbs/eXbwEvnyTgSC22JCaGhhrQ_pb_300x300.png', 'country': 'France', 'region': ""Chablis 1er Cru 'Fourchaume'"", 'average_rating': 4, 'ratings': 1116, 'price': 43.99}, {'name': ""Jean-Marc Brocard Chablis Premier Cru 'Montmains'"", 'link': 'https://www.vivino.com/US-CA/en/wines/2140079', 'thumb': 'https://images.vivino.com/thumbs/Sn32H6dTSe6BJOyWsM0TFw_pb_300x300.png', 'country': 'France', 'region': ""Chablis 1er Cru 'Montmains'"", 'average_rating': 4, 'ratings': 1208, 'price': 60.37}, {'name': ""Domaines Brocard Hervé Azo Chablis Premier Cru 'Vau de Vey'"", 'link': 'https://www.vivino.com/US-CA/en/wines/4806504', 'thumb': 'https://images.vivino.com/thumbs/WmrWiAgFT7-5AVywEvMKaA_375x500.jpg', 'country': 'France', 'region': ""Chablis 1er Cru 'Vau de Vey'"", 'average_rating': 3.9, 'ratings': 158, 'price': None}]",,,,,,,,,,,
12.0,regular in-store stock,['Viura'],lighter glass bottle,0.0,4.0,1.0,9.0,0.0,1.0,"[{'key': 'TasteClockSweetness', 'value': 1}, {'key': 'TasteClockBody', 'value': 4}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Fisk', 'Grönsaker', 'Skaldjur']",2023.0,750 ml,278001.0,2780.0,El Coto Blanco,White Wine,85.0,Spain,Rioja,Rioja,8174.0,145083.0,,,"[{'name': 'El Coto Blanco', 'link': 'https://www.vivino.com/US-CA/en/wines/1539493', 'thumb': 'https://images.vivino.com/thumbs/mWx3CRphQ--xwv4HxdKUbw_pb_300x300.png', 'country': 'Spain', 'region': 'Rioja Alta', 'average_rating': 3.5, 'ratings': 17943, 'price': 10.99}, {'name': 'El Coto Coto Mayor Blanco', 'link': 'https://www.vivino.com/US-CA/en/wines/157914655', 'thumb': 'https://images.vivino.com/thumbs/xWSRYHneRQSbr1Q8B-gSiA_pb_300x300.png', 'country': 'Spain', 'region': 'Rioja', 'average_rating': 3.8, 'ratings': 318, 'price': None}, {'name': 'El Coto Coto de Imaz Blanco Reserva', 'link': 'https://www.vivino.com/US-CA/en/wines/165265003', 'thumb': 'https://images.vivino.com/thumbs/TMurZUKvS9ugjsOmyDhYCQ_pb_300x300.png', 'country': 'Spain', 'region': 'Rioja', 'average_rating': 3.9, 'ratings': 218, 'price': 25.99}, {'name': 'El Coto Rioja Viura - Sauvignon Blanc', 'link': 'https://www.vivino.com/US-CA/en/wines/144794364', 'thumb': 'https://images.vivino.com/thumbs/WiXpPTGhSf-rexf4yBPRNg_375x500.jpg', 'country': 'Spain', 'region': 'Rioja', 'average_rating': 3.6, 'ratings': 166, 'price': None}, {'name': 'El Coto Sauvignon Blanc Selección Viñedos', 'link': 'https://www.vivino.com/US-CA/en/wines/165598234', 'thumb': 'https://images.vivino.com/thumbs/jfgMy5HpT-qqgBNdxYgkEg_pb_300x300.png', 'country': 'Spain', 'region': 'Rioja', 'average_rating': 3.7, 'ratings': 77, 'price': None}]",,,,,,,,,,,
8.5,regular in-store stock,['Rivaner'],lighter glass bottle,3.2,3.0,1.0,9.0,0.0,6.0,"[{'key': 'TasteClockSweetness', 'value': 6}, {'key': 'TasteClockBody', 'value': 3}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Asiatiskt', 'Fisk', 'Kryddstarkt', 'Sällskapsdryck']",2022.0,750 ml,604501.0,6045.0,Black Tower Fruity White,White Wine,69.0,Germany,Rheinhessen,Rheinhessen,9924.0,221326.0,,,"[{'name': 'Black Tower Fruity White', 'link': 'https://www.vivino.com/US-CA/en/wines/1469995', 'thumb': 'https://images.vivino.com/thumbs/Rcb58EFzQR2cqKHXxzgZyQ_pb_300x300.png', 'country': 'Germany', 'region': 'Rheinhessen', 'average_rating': 3.5, 'ratings': 4500, 'price': None}]",,,,,,,,,,,
13.0,regular in-store stock,['Verdicchio'],lighter glass bottle,0.3,4.0,1.0,9.0,0.0,1.0,"[{'key': 'TasteClockSweetness', 'value': 1}, {'key': 'TasteClockBody', 'value': 4}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Buffémat', 'Fisk', 'Grönsaker', 'Skaldjur']",2022.0,750 ml,1241901.0,12419.0,Casal di Serra Classico Superiore Umani Ronchi,White Wine,109.0,Italian,Marche,Verdicchio dei Castelli di Jesi,10900.0,157583.0,,,"[{'name': 'Umani Ronchi Casal di Serra Verdicchio dei Castelli di Jesi Classico Superiore', 'link': 'https://www.vivino.com/US-CA/en/wines/1652071', 'thumb': 'https://images.vivino.com/thumbs/loTyWY87S0m7EQTfgJZVGw_pb_300x300.png', 'country': 'Italy', 'region': 'Verdicchio dei Castelli di Jesi', 'average_rating': 3.8, 'ratings': 6844, 'price': 20.83}, {'name': 'Umani Ronchi Casal di Serra Vecchie Vigne Verdicchio dei Castelli di Jesi Classico Superiore', 'link': 'https://www.vivino.com/US-CA/en/wines/3717389', 'thumb': 'https://images.vivino.com/thumbs/cisIfemiR-GBwEKa0E99IA_pb_300x300.png', 'country': 'Italy', 'region': 'Verdicchio dei Castelli di Jesi', 'average_rating': 3.6, 'ratings': 4799, 'price': None}]",,,,,,,,,,,
