alcoholPercentage,assortmentText,bottleText,categoryLevel1,categoryLevel2,categoryLevel3,country,customCategoryTitle,grapes,originLevel1,originLevel2,packagingLevel1,price,producerName,productId,productNameBold,productNameThin,productNumber,productNumberShort,restrictedParcelQuantity,sugarContentGramPer100ml,tasteClockBody,tasteClockCasque,tasteClockFruitacid,tasteClockRoughness,tasteClockSweetness,tasteClocks,vintage,volume,volumeText,full_name
14.5,Ordervaror,Flaska,Vin,Vitt vin,,Frankrike,Vitt vin,['Riesling'],Alsace,Alsace Grand Cru,Glasflaska,369.0,Gustave Lorentz,42058288, Altenberg de Bergheim,Riesling Grand Cru,7345901,73459,0,0.0,0,0,0,0,0,[],2019,750,750 ml,Gustave Lorentz  Altenberg de Bergheim Riesling Grand Cru
13.5,Tillfälligt sortiment,Flaska,Vin,Rött vin,,Italien,Rött vin,[],Toscana,Brunello di Montalcino,Glasflaska,1199.0, Il Paradiso di Manfredi,35306729, Il Paradiso di Manfredi,Brunello di Montalcino,9051101,90511,0,0.0,0,0,0,0,0,[],2016,750,750 ml, Il Paradiso di Manfredi  Il Paradiso di Manfredi Brunello di Montalcino
12.5,Tillfälligt sortiment,Flaska,Vin,Vitt vin,,Chile,Vitt vin,"['Pais', 'Cariñena']",,,Glasflaska,189.0,Garage Wine Co. / Vitivinicola Two Winters Ltda,39778304, Phoenix Ferment,Garage Wine,9482201,94822,0,0.0,0,0,0,0,0,[],2022,750,750 ml,Garage Wine Co. / Vitivinicola Two Winters Ltda  Phoenix Ferment Garage Wine
12.5,Ordervaror,Flaska,Vin,Rött vin,,Italien,Rött vin,[],,,Glasflaska,189.0,Le Ville di Antanè,43343090,.Recioto della Valpolicella DOCG,,7027302,70273,0,0.0,0,0,0,0,0,[],2019,500,500 ml,
13.5,Ordervaror,Flaska,Vin,Rött vin,,Frankrike,Rött vin,['Pinot noir'],Bourgogne,,Glasflaska,571.0,Simon Bize et Fils,39653895,.Savigny-les-Beaune Aux Grands Liards,Simon Bize,5344501,53445,0,0.0,0,0,0,0,0,[],2018,750,750 ml,Simon Bize et Fils .Savigny-les-Beaune Aux Grands Liards Simon Bize
13.5,Ordervaror,Flaska,Vin,Rött vin,,Italien,Rött vin,['Ciliegiolo'],Umbrien,,Glasflaska,239.0,società agricola Leonardo Bussoletti,30176836,05035,Narni Rosso,5866001,58660,0,0.0,0,0,0,0,0,[],2021,750,750 ml,società agricola Leonardo Bussoletti 05035 Narni Rosso
15.0,Ordervaror,Flaska,Vin,Rött vin,,Spanien,Rött vin,['Monastrell'],Murcia,Jumilla,Glasflaska,228.0,Bodega Asensio Carcelén,9665769,100 x 100,Monastrell,7917701,79177,6,0.0,0,0,0,0,0,[],2018,750,750 ml,Bodega Asensio Carcelén 100 x 100 Monastrell
13.0,Ordervaror,Flaska,Vin,Vitt vin,,Spanien,Vitt vin,['Xarel-lo'],Katalonien,Penedès,Glasflaska,181.0,CASTELL D’AGE,24662695,100% Xarel-lo,0% SO2,5452101,54521,0,0.0,0,0,0,0,0,[],2020,750,750 ml,CASTELL D’AGE 100% Xarel-lo 0% SO2
14.5,Ordervaror,Flaska,Vin,Rött vin,,USA,Rött vin,['Zinfandel'],Kalifornien,,Glasflaska,149.0,1000 Stories Vineyards,8432921,1000 Stories,Bourbon Barrel Aged Zinfandel,7482401,74824,0,0.0,0,0,0,0,0,[],2021,750,750 ml,1000 Stories Vineyards 1000 Stories Bourbon Barrel Aged Zinfandel
15.0,Ordervaror,Flaska,Vin,Rött vin,,Spanien,Rött vin,[],Katalonien,Priorat,Glasflaska,394.0,Hidalgo Albert S.L,1073915,1270,A Vuit Red,7510001,75100,2,0.0,0,0,0,0,0,[],2014,750,750 ml,Hidalgo Albert S.L 1270 A Vuit Red
14.5,Ordervaror,Flaska,Vin,Rött vin,,Spanien,Rött vin,[],Katalonien,Priorat,Glasflaska,278.0,Hidalgo Albert S.L,1074100,1270,A Vuit Fina,7529801,75298,2,0.0,0,0,0,0,0,[],2017,750,750 ml,Hidalgo Albert S.L 1270 A Vuit Fina
14.5,Ordervaror,Flaska,Vin,Vitt vin,,Spanien,Vitt vin,[],Katalonien,Priorat,Glasflaska,349.0,Celler Hidalgo Albert,24550771,1270 A Vuit Blanc,Hidalgo Albert,8501901,85019,2,0.0,0,0,0,0,0,[],2019,750,750 ml,Celler Hidalgo Albert 1270 A Vuit Blanc Hidalgo Albert
12.5,Ordervaror,Flaska,Vin,Rött vin,,Spanien,Rött vin,['Trepat'],Katalonien,Conca de Barberà,Glasflaska,149.0,Carles Andreu,37675871,12@,Carles Andreu,5394601,53946,6,0.0,0,0,0,0,0,[],2022,750,750 ml,Carles Andreu 12@ Carles Andreu
14.5,Ordervaror,Flaska,Vin,Rött vin,,USA,Rött vin,['Cabernet sauvignon'],Washington State,Columbia Valley,Glasflaska,179.0,14 Hands Winery,1172208,14 Hands,Cabernet Sauvignon,7136401,71364,0,0.7,0,0,0,0,0,[],2020,750,750 ml,14 Hands Winery 14 Hands Cabernet Sauvignon
13.5,Fast sortiment,Flaska,Vin,Rött vin,Fruktigt & Smakrikt,Italien,"Rött vin, Fruktigt & Smakrikt",['Barbera'],Piemonte,,Glasflaska,109.0,Schenk Italia Spa,24622853,150+1 Barbera,Piemonte,5291501,52915,0,0.6,7,4,10,7,0,"[{'key': 'TasteClockBody', 'value': 7}, {'key': 'TasteClockRoughness', 'value': 7}, {'key': 'TasteClockFruitacid', 'value': 10}]",2022,750,750 ml,Schenk Italia Spa 150+1 Barbera Piemonte
13.0,Ordervaror,Flaska,Vin,Vitt vin,,Spanien,Vitt vin,['Albariño'],Galicien,Rías Baixas,Glasflaska,375.0,Bodegas del Palacio de Fefiñanes,24577248,1583,Albariño de Fefiñanes,5106101,51061,6,0.0,0,0,0,0,0,[],2022,750,750 ml,Bodegas del Palacio de Fefiñanes 1583 Albariño de Fefiñanes
13.5,Tillfälligt sortiment,Flaska,Vin,Vitt vin,Friskt & Fruktigt,Spanien,"Vitt vin, Friskt & Fruktigt",['Albariño'],Galicien,Rías Baixas,Glasflaska,241.0,Bodegas del Palacio de Fefiñanes,16731147,1583 Albariño de Fefiñanes,,9010301,90103,0,0.0,5,4,10,0,1,"[{'key': 'TasteClockSweetness', 'value': 1}, {'key': 'TasteClockBody', 'value': 5}, {'key': 'TasteClockFruitacid', 'value': 10}]",2022,750,750 ml,
14.5,Ordervaror,Flaska,Vin,Rött vin,,Chile,Rött vin,[],,,Glasflaska,179.0,Mondowine AB,24658983,1865,Carmenère,5432301,54323,0,0.0,0,0,0,0,0,[],2019,750,750 ml,Mondowine AB 1865 Carmenère
13.5,Ordervaror,Flaska,Vin,Vitt vin,,Chile,Vitt vin,[],,,Glasflaska,179.0,Viña San Pedro Tarapacá S.A.,33628167,1865,Chardonnay,5146301,51463,0,0.0,0,0,0,0,0,[],2021,750,750 ml,Viña San Pedro Tarapacá S.A. 1865 Chardonnay
14.0,Ordervaror,Flaska,Vin,Rött vin,,Chile,Rött vin,['Cabernet sauvignon'],Valle Central,Maipo,Glasflaska,179.0,Viña San Pedro,296150,1865,Cabernet Sauvignon,1667201,16672,0,0.0,0,0,0,0,0,[],2021,750,750 ml,Viña San Pedro 1865 Cabernet Sauvignon
13.5,Ordervaror,Flaska,Vin,Rött vin,Fruktigt & Smakrikt,Australien,"Rött vin, Fruktigt & Smakrikt",[],South Eastern Australia,,Glasflaska,139.0,19 Crimes,13955353,19 Crimes,The Banished Dark Red,7002101,70021,0,1.3,8,8,8,7,0,"[{'key': 'TasteClockBody', 'value': 8}, {'key': 'TasteClockRoughness', 'value': 7}, {'key': 'TasteClockFruitacid', 'value': 8}]",2020,750,750 ml,19 Crimes 19 Crimes The Banished Dark Red
13.0,Ordervaror,Flaska,Vin,Vitt vin,,Australien,Vitt vin,[],South Eastern Australia,,Glasflaska,99.0,19 Crimes,13955361,19 Crimes,Chard,7205401,72054,0,0.0,0,0,0,0,0,[],2021,750,750 ml,19 Crimes 19 Crimes Chard
14.5,Ordervaror,Flaska,Vin,Rött vin,,Australien,Rött vin,[],South Eastern Australia,,Glasflaska,139.0,19 Crimes,13955362,19 Crimes,The Uprising,7015701,70157,0,1.4,0,0,0,0,0,[],2019,750,750 ml,19 Crimes 19 Crimes The Uprising
12.0,Ordervaror,Flaska,Vin,Mousserande vin,,Australien,Mousserande vin,[],,,Glasflaska,129.0,19 Crimes,30641632,19 Crimes,Sparkling White,5888701,58887,0,0.0,0,0,0,0,0,[],,750,750 ml,19 Crimes 19 Crimes Sparkling White
13.5,Fast sortiment,Flaska,Vin,Rött vin,Fruktigt & Smakrikt,Australien,"Rött vin, Fruktigt & Smakrikt",[],South Eastern Australia,,Glasflaska,99.0,19 Crimes,2848041,19 Crimes,Red Wine,7396801,73968,0,1.3,9,8,9,8,0,"[{'key': 'TasteClockBody', 'value': 9}, {'key': 'TasteClockRoughness', 'value': 8}, {'key': 'TasteClockFruitacid', 'value': 9}]",2021,750,750 ml,19 Crimes 19 Crimes Red Wine
14.0,Fast sortiment,Lättare glasflaska,Vin,Rött vin,Kryddigt & Mustigt,Italien,"Rött vin, Kryddigt & Mustigt",[],Venetien,Valpolicella,Lättare glasflaska,129.0,Luigi Righetti,740764,1909 Righetti,Ripasso,7630801,76308,0,0.4,9,8,9,8,0,"[{'key': 'TasteClockBody', 'value': 9}, {'key': 'TasteClockRoughness', 'value': 8}, {'key': 'TasteClockFruitacid', 'value': 9}]",2021,750,750 ml,Luigi Righetti 1909 Righetti Ripasso
15.0,Ordervaror,Flaska,Vin,Rött vin,Sött,Italien,"Rött vin, Sött",[],Piemonte,Malvasia di Casorzo,Glasflaska,234.0,Cantina Sociale di Casorzo,612965,286 Malvasia di Casorzo,Passito,7597202,75972,0,0.0,0,0,0,0,0,[],2012,375,375 ml,Cantina Sociale di Casorzo 286 Malvasia di Casorzo Passito
14.5,Ordervaror,Flaska,Vin,Rött vin,,Spanien,Rött vin,"['Syrah', 'Monastrell']",Murcia,Jumilla,Glasflaska,119.0,Bodega Madrid Romero,45542849,3 Calas,,7701101,77011,0,0.0,0,0,0,0,0,[],2021,750,750 ml,
12.5,Ordervaror,Flaska,Vin,Vitt vin,,Spanien,Vitt vin,['Sauvignon blanc'],Murcia,,Glasflaska,129.0,Bodega Madrid Romero,45542839,3 Calas Vitt,,7088101,70881,0,0.0,0,0,0,0,0,[],2023,750,750 ml,
