alcoholPercentage,assortmentText,bottleText,categoryLevel1,categoryLevel2,categoryLevel3,country,customCategoryTitle,ethicalLabel,grapes,isClimateSmartPackaging,isCompletelyOutOfStock,isDiscontinued,isEthical,isKosher,isManufacturingCountry,isOrganic,isSustainableChoice,isTemporaryOutOfStock,originLevel1,originLevel2,packagingLevel1,price,producerName,productId,productNameBold,productNameThin,productNumber,productNumberShort,restrictedParcelQuantity,sugarContent,sugarContentGramPer100ml,supplierName,taste,tasteClockBitter,tasteClockBody,tasteClockCasque,tasteClockFruitacid,tasteClockGroupBitter,tasteClockGroupSmokiness,tasteClockRoughness,tasteClockSmokiness,tasteClockSweetness,tasteClocks,tasteSymbols,vintage,volume,volumeText,full_name
13.5,Fast sortiment,Flaska,Vin,Rött vin,Fruktigt & Smakrikt,Italien,"Rött vin, Fruktigt & Smakrikt",,['Barbera'],False,False,False,False,False,False,False,False,False,Piemonte,,Glasflaska,109.0,Schenk Italia Spa,24622853,150+1 Barbera,Piemonte,5291501,52915,0,6,0.6,Morningstar Brands AB,"Fruktig, något kryddig smak med inslag av fat, körsbär, basilika, hallon, blåbär, viol och choklad.",0,7,4,10,,,7,0,0,"[{'key': 'TasteClockBody', 'value': 7}, {'key': 'TasteClockRoughness', 'value': 7}, {'key': 'TasteClockFruitacid', 'value': 10}]","['Grönsaker', 'Lamm', 'Nöt']",2022,750,750 ml,Schenk Italia Spa 150+1 Barbera Piemonte 2022
13.5,Fast sortiment,Flaska,Vin,Rött vin,Fruktigt & Smakrikt,Australien,"Rött vin, Fruktigt & Smakrikt",,[],False,False,False,False,False,False,False,False,False,South Eastern Australia,,Glasflaska,99.0,19 Crimes,2848041,19 Crimes,Red Wine,7396801,73968,0,13,1.3,Treasury Wine Estates Sweden AB,"Mycket fruktig smak med fatkaraktär, inslag av björnbär, eukalyptus, blåbärssylt, kaffe, vanilj och mjölkchoklad.",0,9,8,9,,,8,0,0,"[{'key': 'TasteClockBody', 'value': 9}, {'key': 'TasteClockRoughness', 'value': 8}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Lamm', 'Nöt']",2021,750,750 ml,19 Crimes 19 Crimes Red Wine 2021
14.0,Fast sortiment,Flaska,Vin,Rött vin,Fruktigt & Smakrikt,Portugal,"Rött vin, Fruktigt & Smakrikt",,"['Touriga franca', 'Touriga naçional']",False,False,False,False,False,False,False,False,False,Douro,,Glasflaska,179.0,Quinta do Pessegueiro - Sociedade Agricola e Comercial Lda.,37260385,ALUZÉ,Pessegueiro,272801,2728,0,2,0.0,AB Mohawk Brewing Company,"Nyanserad, fruktig, något kryddig smak med fatkaraktär, inslag av björnbär, plommon, viol, blåbär, lakrits, färska örter, ceder, choklad och vanilj.",0,9,8,9,,,9,0,0,"[{'key': 'TasteClockBody', 'value': 9}, {'key': 'TasteClockRoughness', 'value': 9}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Lamm', 'Nöt']",2020,750,750 ml,Quinta do Pessegueiro - Sociedade Agricola e Comercial Lda. ALUZÉ Pessegueiro 2020
13.5,Fast sortiment,Flaska,Vin,Rött vin,Kryddigt & Mustigt,Frankrike,"Rött vin, Kryddigt & Mustigt",,['Pinot noir'],False,False,False,False,False,False,True,False,False,Languedoc-Roussillon,Pays d'Oc,Glasflaska,139.0,Abbotts & Delaunay,24566322,Abbotts & Delaunay,Métayage Pinot Noir,5050701,50507,0,2,0.0,Sigva AB,"Nyanserad, kryddig smak med fatkaraktär, inslag av jordgubbar, sandelträ, skogshallon, kanel, choklad, lagerblad och vanilj.",0,5,8,10,,,5,0,0,"[{'key': 'TasteClockBody', 'value': 5}, {'key': 'TasteClockRoughness', 'value': 5}, {'key': 'TasteClockFruitacid', 'value': 10}]","['Fisk', 'Fläsk', 'Fågel', 'Grönsaker']",2022,750,750 ml,Abbotts & Delaunay Abbotts & Delaunay Métayage Pinot Noir 2022
14.5,Fast sortiment,Flaska,Vin,Rött vin,Fruktigt & Smakrikt,Sydafrika,"Rött vin, Fruktigt & Smakrikt",,['Shiraz'],False,False,False,False,False,False,False,False,False,Western Cape,Coastal Region,Glasflaska,129.0,Allesverloren Wine Estate,49521,Allesverloren,Shiraz,2900201,29002,0,2,0.0,Vinunic AB,"Fruktig smak med fatkaraktär, inslag av björnbär, lagerblad, plommon, svartpeppar, skogshallon och choklad.",0,9,8,9,,,8,0,0,"[{'key': 'TasteClockBody', 'value': 9}, {'key': 'TasteClockRoughness', 'value': 8}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Lamm', 'Nöt']",2019,750,750 ml,Allesverloren Wine Estate Allesverloren Shiraz 2019
15.0,Fast sortiment,Flaska,Vin,Rött vin,Kryddigt & Mustigt,Italien,"Rött vin, Kryddigt & Mustigt",,"['Corvina veronese', 'Rondinella', 'Cabernet sauvignon']",False,False,False,False,False,False,False,False,False,Venetien,Valpolicella,Glasflaska,239.0,Alpha Zeta,272067,Amarone A,Alpha Zeta,1234301,12343,0,6,0.6,Independent Wine Company AB,"Nyanserad, kryddig smak med fatkaraktär, inslag av romrussin, kakao, mörka körsbär, nötter, mogna jordgubbar, salvia och vanilj.",0,10,8,9,,,9,0,0,"[{'key': 'TasteClockBody', 'value': 10}, {'key': 'TasteClockRoughness', 'value': 9}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Lamm', 'Nöt', 'Ost', 'Vilt']",2021,750,750 ml,Alpha Zeta Amarone A Alpha Zeta 2021
15.0,Fast sortiment,Flaska,Vin,Rött vin,Kryddigt & Mustigt,Italien,"Rött vin, Kryddigt & Mustigt",,[],False,False,False,False,False,False,False,False,False,Venetien,Valpolicella,Glasflaska,199.0,Fields Wine Company AB,20765059,Amarone della Valpolicella,Casteloro,7420801,74208,0,10,1.0,Fields Wine Company AB,"Kryddig , något utvecklad smak med inslag av fat, torkade körsbär, kakao, nötter, russin, salvia och kanel.",0,10,4,9,,,9,0,0,"[{'key': 'TasteClockBody', 'value': 10}, {'key': 'TasteClockRoughness', 'value': 9}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Lamm', 'Nöt', 'Ost', 'Vilt']",2020,750,750 ml,Fields Wine Company AB Amarone della Valpolicella Casteloro 2020
16.5,Fast sortiment,Flaska,Vin,Rött vin,Kryddigt & Mustigt,Italien,"Rött vin, Kryddigt & Mustigt",,"['Molinara', 'Corvina', 'Rondinella']",False,False,False,False,False,False,False,False,False,Venetien,Valpolicella,Glasflaska,789.0,Luigi Brunelli,891225,Amarone della Valpolicella,Classico Campo del Titari Riserva,7849801,78498,0,6,0.6,Wine Group Sweden AB,"Komplex, kryddig, något utvecklad smak med fatkaraktär, inslag av torkade körsbär, katrinplommon, choklad, romrussin, nötter, peppar, vanilj och pomerans.",0,10,8,10,,,9,0,0,"[{'key': 'TasteClockBody', 'value': 10}, {'key': 'TasteClockRoughness', 'value': 9}, {'key': 'TasteClockFruitacid', 'value': 10}]","['Nöt', 'Ost', 'Vilt']",2018,750,750 ml,Luigi Brunelli Amarone della Valpolicella Classico Campo del Titari Riserva 2018
15.0,Fast sortiment,Flaska,Vin,Rött vin,Kryddigt & Mustigt,Italien,"Rött vin, Kryddigt & Mustigt",,[],False,False,False,False,False,False,True,False,False,Venetien,Valpolicella,Glasflaska,249.0,Vivaldi Wines,9738833,Amarone della Valpolicella,ai Colli Vivaldi,7063501,70635,0,10,1.0,Fields Wine Company AB,"Kryddig smak med liten sötma, inslag av fat, mörka körsbär, katrinplommon, choklad, peppar, salvia och kanel.",0,9,4,9,,,9,0,0,"[{'key': 'TasteClockBody', 'value': 9}, {'key': 'TasteClockRoughness', 'value': 9}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Nöt', 'Ost', 'Vilt']",2020,750,750 ml,Vivaldi Wines Amarone della Valpolicella ai Colli Vivaldi 2020
14.0,Fast sortiment,Flaska,Vin,Rött vin,Mjukt & Bärigt,USA,"Rött vin, Mjukt & Bärigt",,['Pinot noir'],False,False,False,False,False,False,False,False,False,Kalifornien,,Glasflaska,179.0,Angeline Winery,39237645,Angeline Vineyards,California Pinot Noir,235401,2354,0,4,0.4,Divine AB,"Nyanserad, bärig smak med inslag av fat, jordgubbar, lingon, sandelträ, blodapelsin, fransk nougat, salvia och kryddor.",0,5,4,9,,,5,0,0,"[{'key': 'TasteClockBody', 'value': 5}, {'key': 'TasteClockRoughness', 'value': 5}, {'key': 'TasteClockFruitacid', 'value': 9}]","['Buffémat', 'Fläsk', 'Fågel', 'Grönsaker']",2022,750,750 ml,Angeline Winery Angeline Vineyards California Pinot Noir 2022
